id,subject,level,question_text,options,correct_answer,hint,image_url,audio_url
eng-1-001,english,1,"""School"" の意味はどれ？","[""学校"", ""病院"", ""図書館""]",学校,School は 学校 のことだよ。,,
eng-1-002,english,1,"""Big"" の意味はどれ？","[""大きい"", ""小さい"", ""速い""]",大きい,Big は 大きい のことだよ。,,
eng-1-003,english,1,"""Small"" の意味はどれ？","[""小さい"", ""大きい"", ""高い""]",小さい,Small は 小さい のことだよ。,,
eng-1-004,english,1,"""Apple"" の意味はどれ？","[""りんご"", ""ばなな"", ""みかん""]",りんご,Apple は りんご のことだよ。,,
eng-1-005,english,1,"""Run"" の意味はどれ？","[""走る"", ""食べる"", ""寝る""]",走る,Run は 走る のことだよ。,,
math-1-001,math,1,2 - 2 は？,"[""8"", ""0"", ""1""]",0,2 - 2 は？ を考えてごらん。,,
math-1-002,math,1,4 ÷ 4 は？,"[""4"", ""2"", ""1""]",1,4 ÷ 4 は？ を考えてごらん。,,
math-1-003,math,1,2 + 3 は？,"[""5"", ""3"", ""4""]",5,2 + 3 は？ を考えてごらん。,,
math-1-004,math,1,4 - 2 は？,"[""6"", ""2"", ""10""]",2,4 - 2 は？ を考えてごらん。,,
math-1-005,math,1,2 + 3 は？,"[""5"", ""7"", ""6""]",5,2 + 3 は？ を考えてごらん。,,
eng-2-001,english,2,"""Swim"" の意味はどれ？","[""泳ぐ"", ""飛ぶ"", ""歩く""]",泳ぐ,Swim は 泳ぐ のことだよ。,,
eng-2-002,english,2,"""Dog"" の意味はどれ？","[""いぬ"", ""ねこ"", ""りんご""]",いぬ,Dog は いぬ のことだよ。,,
eng-2-003,english,2,"""Car"" の意味はどれ？","[""車"", ""自転車"", ""バス""]",車,Car は 車 のことだよ。,,
eng-2-004,english,2,"""Teacher"" の意味はどれ？","[""先生"", ""生徒"", ""医者""]",先生,Teacher は 先生 のことだよ。,,
eng-2-005,english,2,"""Chair"" の意味はどれ？","[""いす"", ""机"", ""ベッド""]",いす,Chair は いす のことだよ。,,
math-2-001,math,2,25 ÷ 5 は？,"[""5"", ""16"", ""13""]",5,25 ÷ 5 は？ を考えてごらん。,,
math-2-002,math,2,7 - 5 は？,"[""16"", ""8"", ""2""]",2,7 - 5 は？ を考えてごらん。,,
math-2-003,math,2,5 ÷ 1 は？,"[""7"", ""19"", ""5""]",5,5 ÷ 1 は？ を考えてごらん。,,
math-2-004,math,2,9 × 3 は？,"[""5"", ""27"", ""11""]",27,9 × 3 は？ を考えてごらん。,,
math-2-005,math,2,2 + 8 は？,"[""10"", ""7"", ""1""]",10,2 + 8 は？ を考えてごらん。,,
eng-3-001,english,3,"""Chair"" の意味はどれ？","[""いす"", ""机"", ""ベッド""]",いす,Chair は いす のことだよ。,,
eng-3-002,english,3,"""Book"" の意味はどれ？","[""本"", ""ペン"", ""ノート""]",本,Book は 本 のことだよ。,,
eng-3-003,english,3,"""Apple"" の意味はどれ？","[""りんご"", ""ばなな"", ""みかん""]",りんご,Apple は りんご のことだよ。,,
eng-3-004,english,3,"""Teacher"" の意味はどれ？","[""先生"", ""生徒"", ""医者""]",先生,Teacher は 先生 のことだよ。,,
eng-3-005,english,3,"""Dog"" の意味はどれ？","[""いぬ"", ""ねこ"", ""りんご""]",いぬ,Dog は いぬ のことだよ。,,
math-3-001,math,3,12 ÷ 1 は？,"[""23"", ""12"", ""19""]",12,12 ÷ 1 は？ を考えてごらん。,,
math-3-002,math,3,9 - 5 は？,"[""5"", ""4"", ""12""]",4,9 - 5 は？ を考えてごらん。,,
math-3-003,math,3,12 + 4 は？,"[""16"", ""2"", ""22""]",16,12 + 4 は？ を考えてごらん。,,
math-3-004,math,3,12 × 2 は？,"[""22"", ""23"", ""24""]",24,12 × 2 は？ を考えてごらん。,,
math-3-005,math,3,4 + 9 は？,"[""13"", ""18"", ""30""]",13,4 + 9 は？ を考えてごらん。,,
eng-4-001,english,4,"""Run"" の意味はどれ？","[""走る"", ""食べる"", ""寝る""]",走る,Run は 走る のことだよ。,,
eng-4-002,english,4,"""School"" の意味はどれ？","[""学校"", ""病院"", ""図書館""]",学校,School は 学校 のことだよ。,,
eng-4-003,english,4,"""Milk"" の意味はどれ？","[""牛乳"", ""水"", ""ジュース""]",牛乳,Milk は 牛乳 のことだよ。,,
eng-4-004,english,4,"""Chair"" の意味はどれ？","[""いす"", ""机"", ""ベッド""]",いす,Chair は いす のことだよ。,,
eng-4-005,english,4,"""Dog"" の意味はどれ？","[""いぬ"", ""ねこ"", ""りんご""]",いぬ,Dog は いぬ のことだよ。,,
math-4-001,math,4,13 + 19 は？,"[""19"", ""35"", ""32""]",32,13 + 19 は？ を考えてごらん。,,
math-4-002,math,4,160 ÷ 10 は？,"[""16"", ""38"", ""13""]",16,160 ÷ 10 は？ を考えてごらん。,,
math-4-003,math,4,7 × 11 は？,"[""33"", ""36"", ""77""]",77,7 × 11 は？ を考えてごらん。,,
math-4-004,math,4,8 - 5 は？,"[""28"", ""27"", ""3""]",3,8 - 5 は？ を考えてごらん。,,
math-4-005,math,4,3 - 18 は？,"[""35"", ""8"", ""-15""]",-15,3 - 18 は？ を考えてごらん。,,
