id,subject,level,question_text,options,correct_answer,hint,image_url,audio_url
eng-1-001,english,1,"""Dog"" の意味はどれ？","[""いぬ"", ""ねこ"", ""りんご""]",いぬ,Dog は いぬ のことだよ。,,
eng-1-002,english,1,"""Cat"" の意味はどれ？","[""ねこ"", ""いぬ"", ""さかな""]",ねこ,Cat は ねこ のことだよ。,,
eng-1-003,english,1,"""Apple"" の意味はどれ？","[""りんご"", ""ばなな"", ""みかん""]",りんご,Apple は りんご のことだよ。,,
eng-1-004,english,1,"""Book"" の意味はどれ？","[""本"", ""ペン"", ""ノート""]",本,Book は 本 のことだよ。,,
eng-1-005,english,1,"""Car"" の意味はどれ？","[""車"", ""自転車"", ""バス""]",車,Car は 車 のことだよ。,,
eng-2-001,english,2,"""Run"" の意味はどれ？","[""走る"", ""食べる"", ""寝る""]",走る,Run は 走る のことだよ。,,
eng-2-002,english,2,"""Swim"" の意味はどれ？","[""泳ぐ"", ""飛ぶ"", ""歩く""]",泳ぐ,Swim は 泳ぐ のことだよ。,,
eng-2-003,english,2,"""Blue"" の意味はどれ？","[""青"", ""赤"", ""緑""]",青,Blue は 青 のことだよ。,,
eng-2-004,english,2,"""Happy"" の意味はどれ？","[""幸せ"", ""悲しい"", ""怒っている""]",幸せ,Happy は 幸せ のことだよ。,,
eng-2-005,english,2,"""School"" の意味はどれ？","[""学校"", ""病院"", ""図書館""]",学校,School は 学校 のことだよ。,,
eng-3-001,english,3,"""Teacher"" の意味はどれ？","[""先生"", ""生徒"", ""医者""]",先生,Teacher は 先生 のことだよ。,,
eng-3-002,english,3,"""Milk"" の意味はどれ？","[""牛乳"", ""水"", ""ジュース""]",牛乳,Milk は 牛乳 のことだよ。,,
eng-3-003,english,3,"""Big"" の意味はどれ？","[""大きい"", ""小さい"", ""速い""]",大きい,Big は 大きい のことだよ。,,
eng-3-004,english,3,"""Small"" の意味はどれ？","[""小さい"", ""大きい"", ""高い""]",小さい,Small は 小さい のことだよ。,,
eng-3-005,english,3,"""Chair"" の意味はどれ？","[""いす"", ""机"", ""ベッド""]",いす,Chair は いす のことだよ。,,
eng-4-001,english,4,"""Table"" の意味はどれ？","[""机"", ""椅子"", ""棚""]",机,Table は 机 のことだよ。,,
eng-4-002,english,4,"""Window"" の意味はどれ？","[""窓"", ""ドア"", ""壁""]",窓,Window は 窓 のことだよ。,,
eng-4-003,english,4,"""House"" の意味はどれ？","[""家"", ""学校"", ""病院""]",家,House は 家 のことだよ。,,
